50,139,262,396,530,674,834,1011,1205,1412,1628,1845,2059,2267,2470,2669,2864,3054,3240,3421,3600,3778,3931,4042
113,301,553,828,1110,1413,1743,2105,2501,2927,3368,3803,4224,4626,5009,5383,5751,6110,6459,6798,7133,7471,7773,8007
187,466,825,1220,1639,2097,2585,3110,3689,4333,5009,5673,6298,6873,7403,7919,8427,8921,9397,9858,10313,10775,11201,11550
259,609,1044,1529,2063,2660,3279,3929,4652,5483,6374,7254,8067,8791,9443,10084,10718,11329,11907,12465,13016,13576,14100,14545
322,736,1242,1813,2457,3183,3916,4670,5507,6475,7525,8569,9532,10384,11154,11931,12710,13453,14137,14791,15440,16102,16725,17261
393,881,1471,2139,2890,3724,4552,5403,6354,7451,8650,9853,10964,11944,12838,13758,14693,15589,16406,17166,17916,18687,19422,20065
467,1038,1722,2495,3358,4298,5216,6162,7229,8458,9812,11181,12445,13555,14579,15643,16731,17783,18746,19622,20482,21372,22231,22992
551,1218,2009,2898,3884,4942,5966,7019,8206,9570,11089,12634,14055,15296,16454,17664,18905,20112,21227,22237,23227,24252,25248,26141
650,1429,2344,3366,4490,5685,6840,8020,9335,10836,12526,14254,15835,17206,18500,19863,21265,22634,23910,25078,26222,27400,28547,29586
758,1659,2713,3886,5167,6518,7825,9151,10606,12249,14113,16026,17770,19274,20709,22236,23813,25360,26816,28162,29479,30826,32137,33333
874,1904,3107,4444,5896,7418,8893,10377,11981,13776,15819,17920,19833,21480,23064,24765,26530,28268,29916,31452,32957,34489,35979,37346
996,2159,3516,5024,6653,8353,10000,11643,13398,15353,17579,19870,21957,23755,25492,27367,29323,31259,33106,34841,36542,38265,39938,41480
1118,2412,3920,5596,7398,9274,11092,12896,14807,16928,19342,21822,24084,26040,27931,29978,32123,34256,36300,38230,40121,42027,43874,45583
1234,2655,4309,6147,8119,10169,12161,14133,16208,18499,21103,23770,26206,28325,30372,32589,34921,37248,39483,41599,43671,45748,47756,49621
1342,2889,4693,6699,8848,11080,13254,15399,17639,20100,22892,25740,28346,30630,32836,35221,37740,40266,42698,45004,47260,49510,51676,53690
1441,3107,5058,7233,9561,11975,14327,16638,19033,21649,24606,27607,30351,32769,35117,37662,40363,43086,45718,48217,50657,53076,55394,57548
1530,3302,5389,7727,10228,12816,15336,17801,20332,23074,26161,29279,32127,34648,37118,39812,42685,45594,48417,51102,53717,56294,58752,61035
1608,3470,5676,8163,10825,13573,16242,18837,21477,24314,27499,30708,33637,36239,38808,41627,44647,47718,50712,53567,56340,59058,61641,64039
1679,3616,5921,8538,11343,14230,17019,19712,22433,25345,28610,31898,34900,37571,40216,43127,46256,49454,52589,55591,58502,61343,64034,66532
1754,3759,6147,8872,11795,14791,17669,20436,23225,26208,29547,32908,35979,38716,41430,44416,47627,50918,54158,57278,60306,63254,66040,68624
1818,3882,6338,9148,12164,15244,18194,21029,23892,26958,30386,33833,36984,39796,42584,45645,48932,52300,55622,58837,61965,65008,67878,70539
1873,3989,6502,9381,12475,15628,18650,21566,24524,27696,31237,34797,38057,40973,43862,47022,50403,53858,57262,60565,63786,66917,69863,72592
1920,4084,6650,9590,12755,15981,19084,22097,25169,28467,32141,35840,39239,42289,45306,48587,52079,55632,59122,62509,65813,69021,72033,74818
1961,4172,6791,9790,13024,16326,19516,22633,25826,29257,33074,36923,40472,43667,46822,50228,53831,57479,61050,64512,67884,71155,74223,77052
