112,238,385,548,720,901,1082,1263,1451,1653,1851,2042,2234,2426,2598,2760,2914,3066,3222,3378,3511,3631,3737,3822
216,457,740,1058,1394,1740,2085,2429,2785,3165,3544,3917,4290,4652,4971,5266,5540,5803,6069,6343,6585,6808,7010,7180
309,650,1038,1468,1925,2384,2837,3299,3790,4313,4846,5384,5921,6426,6851,7248,7619,7971,8321,8681,9008,9316,9604,9861
400,832,1301,1807,2349,2878,3393,3936,4536,5175,5831,6520,7212,7838,8343,8830,9295,9735,10165,10601,11003,11389,11760,12103
498,1020,1571,2165,2810,3419,4009,4639,5341,6087,6842,7681,8530,9263,9860,10450,11024,11560,12062,12573,13050,13519,13978,14404
585,1184,1802,2490,3282,3984,4678,5417,6222,7090,7953,8926,9914,10760,11471,12198,12946,13631,14203,14778,15325,15869,16409,16924
675,1348,2036,2813,3718,4523,5325,6168,7064,8024,8985,10087,11214,12174,12972,13798,14675,15486,16148,16804,17426,18044,18665,19271
774,1534,2307,3174,4173,5087,5995,6936,7925,8979,10035,11265,12532,13604,14477,15380,16349,17263,18030,18789,19505,20211,20921,21620
889,1755,2629,3600,4711,5743,6767,7817,8916,10093,11251,12606,14008,15191,16151,17144,18214,19240,20126,21006,21841,22656,23465,24262
1025,2007,2995,4091,5331,6497,7662,8845,10067,11370,12631,14108,15640,16932,17986,19080,20264,21422,22453,23471,24441,25376,26292,27197
1165,2275,3388,4618,6003,7319,8636,9959,11304,12726,14088,15691,17360,18764,19909,21110,22416,23707,24881,26041,27150,28209,29241,30269
1302,2548,3797,5169,6709,8183,9659,11130,12603,14139,15600,17335,19150,20671,21904,23214,24650,26084,27409,28725,29986,31184,32345,33501
1433,2814,4203,5722,7420,9055,10700,12333,13943,15588,17154,19035,21008,22651,23976,25399,26978,28571,30056,31533,32952,34296,35590,36873
1557,3068,4594,6257,8109,9903,11723,13530,15284,17031,18708,20747,22887,24657,26077,27615,29347,31112,32758,34390,35958,37441,38863,40269
1675,3316,4977,6776,8771,10712,12698,14676,16574,18415,20191,22372,24671,26570,28077,29719,31601,33539,35344,37129,38841,40457,42002,43525
1795,3562,5353,7286,9420,11506,13648,15787,17828,19770,21635,23923,26337,28339,29940,31688,33702,35796,37764,39705,41558,43306,44977,46620
1916,3808,5727,7792,10067,12305,14597,16880,19050,21094,23052,25443,27966,30070,31763,33605,35727,37946,40054,42145,44140,46022,47820,49582
2032,4048,6094,8289,10704,13087,15512,17914,20192,22337,24401,26906,29548,31767,33559,35492,37709,40029,42247,44467,46596,48610,50532,52407
2136,4269,6440,8765,11313,13816,16347,18845,21219,23470,25654,28283,31048,33387,35295,37330,39642,42054,44364,46686,48933,51073,53114,55094
2231,4474,6769,9222,11891,14497,17123,19719,22199,24563,26869,29628,32521,34977,36992,39122,41525,44026,46422,48838,51197,53461,55618,57692
2322,4668,7081,9657,12438,15141,17851,20524,23080,25528,27927,30788,33783,36331,38428,40632,43108,45685,48161,50669,53146,55537,57805,59963
2415,4856,7378,10076,12975,15778,18578,21331,23959,26479,28966,31926,35022,37665,39849,42131,44695,47369,49940,52547,55152,57674,60046,62281
2508,5036,7657,10474,13496,16403,19307,22162,24883,27492,30085,33160,36371,39124,41414,43794,46469,49264,51949,54664,57400,60048,62517,64826
2594,5206,7921,10849,13991,17003,20020,22993,25828,28551,31265,34463,37792,40657,43062,45552,48341,51256,54059,56886,59746,62507,65066,67449
